event0  attr1,event0  attr2,probability
2,-1,0.0
2,0,0.00043004587156006814
2,1,0.002723623853211397
2,2,0.8847477064219985
2,3,0.004587155963303096
2,4,0.0008600917431196913
2,5,0.004443807339449885
2,6,0.00014334862385365204
2,7,0.0018635321100921463
2,8,0.0022935779816517688
2,9,0.0054472477064223404
2,10,0.002580275229358188
2,11,0.001720183486238941
2,12,0.0032970183486242246
2,13,0.0012901376146793155
2,14,0.003010321100917807
2,15,0.0004300458715600683
2,16,0.0025802752293581865
2,17,0.0014334862385325246
2,18,0.00358371559633064
2,19,0.00028669724770686
2,20,0.004157110091743476
2,21,0.0
2,22,0.002580275229358188
2,23,0.003010321100917807
2,24,0.0025802752293581865
2,25,0.002006880733945354
2,26,0.0015768348623857308
2,27,0.002150229357798563
2,28,0.008314220183486503
2,29,0.00014334862385365204
2,30,0.0005733944954132759
2,31,0.002150229357798563
2,32,0.002006880733945355
2,33,0.0032970183486242246
2,34,0.0018635321100921463
2,35,0.00028669724770686
2,36,0.00229357798165177
2,37,0.002006880733945354
2,38,0.0017201834862389407
2,39,0.0054472477064223404
2,40,0.0005733944954132758
2,41,0.004300458715596684
2,42,0.0010034403669728987
2,43,0.002006880733945355
2,44,0.006307339449541597
2,45,0.0015768348623857301
2,46,0.004730504587156298
2,47,0.0004300458715600683
2,48,0.001720183486238943
2,49,0.0014334862385325246
3,-4,0.0
3,-3,0.0
3,-2,0.0
3,-1,0.0
3,0,0.0012286521685714973
3,1,0.003808821722570702
3,2,0.0024573043371425465
3,3,0.9045337265020076
3,4,0.0007371913011430751
3,5,0.002948765204570965
3,6,0.003563091288856495
3,7,0.004668878240570441
3,8,0.001842978252857022
3,9,0.0014743826022857061
3,10,0.002948765204570967
3,11,0.00024573043371465435
3,12,0.0018429782528570228
3,13,0.0006143260842859694
3,14,0.0017201130359999165
3,15,0.002825899987713864
3,16,0.004791743457427548
3,17,0.002825899987713864
3,18,0.004177417373142023
3,19,0.0025801695539996515
3,20,0.002948765204570965
3,21,0.0018429782528570238
3,22,0.0018429782528570238
3,23,0.0014743826022857061
3,24,0.0003685956505717596
3,25,0.0017201130359999156
3,26,0.001351517385428601
3,27,0.002703034770856758
3,28,0.0019658434697141253
3,29,0.0019658434697141253
3,30,0.0
3,31,0.0004914608674288643
3,32,0.0017201130359999165
3,33,0.0023344391202854433
3,34,0.0009829217348572862
3,35,0.00012286521685754928
3,36,0.003194495638285179
3,37,0.0
3,38,0.0034402260719993893
3,39,0.0014743826022857061
3,40,0.0003685956505717595
3,41,0.0014743826022857061
3,42,0.0027030347708567595
3,43,0.0019658434697141253
3,44,0.000982921734857287
3,45,0.0025801695539996506
3,46,0.001842978252857022
3,47,0.0022115739034283383
3,48,0.000982921734857287
3,49,0.001105786951714389
4,-4,0.0
4,-3,0.0
4,-2,0.0
4,-1,0.0
4,0,0.0004616805170826131
4,1,0.0009233610341647831
4,2,0.001038781163435326
4,3,0.0006925207756236986
4,4,0.9271698984302665
4,5,0.0011542012927058679
4,6,0.002654662973222917
4,7,0.0004616805170826133
4,8,0.0
4,9,0.0009233610341647831
4,10,0.0024238227146818375
4,11,0.002654662973222917
4,12,0.003578024007387253
4,13,0.0012696214219764111
4,14,0.0013850415512469533
4,15,0.0016158818097880359
4,16,0.002423822714681836
4,17,0.0012696214219764111
4,18,0.0016158818097880352
4,19,0.0004616805170826133
4,20,0.00403970452446943
4,21,0.002077562326870206
4,22,0.0
4,23,0.0
4,24,0.001962142197599665
4,25,0.00334718374884617
4,26,0.0008079409048942416
4,27,0.0024238227146818354
4,28,0.003693444136657804
4,29,0.0021929824561407497
4,30,0.0009233610341647831
4,31,0.003000923361034547
4,32,0.0011542012927058679
4,33,0.0004616805170826133
4,34,0.0015004616805174957
4,35,0.002308402585411293
4,36,0.001731301939058579
4,37,0.0004616805170826131
4,38,0.0
4,39,0.0008079409048942416
4,40,0.0013850415512469529
4,41,0.0013850415512469533
4,42,0.002423822714681836
4,43,0.0005771006463531562
4,44,0.002192982456140752
4,45,0.0010387811634353255
4,46,0.00011542012927098647
4,47,0.0016158818097880359
4,48,0.001846722068329123
4,49,0.00034626038781207145
5,-4,0.0
5,-3,0.0
5,-2,0.0
